DeviceID,Time,Power(kW)
STP 17000TL-10 435,02.02.2020 16:00,2.16
STP 17000TL-10 561,02.02.2020 16:00,2.09
STP 17000TL-10 431,02.02.2020 18:00,0.06
STP 17000TL-10 435,02.02.2020 18:00,0.07
STP 17000TL-10 561,02.02.2020 18:00,0.06
STP 17000TL-10 431,01.02.2020 08:00,0.65
STP 17000TL-10 435,01.02.2020 08:00,0.65
STP 17000TL-10 561,01.02.2020 08:00,0.51
STP 17000TL-10 431,01.02.2020 07:00,0.02
STP 17000TL-10 435,01.02.2020 07:00,0.01
STP 17000TL-10 561,01.02.2020 07:00,0.00
STP 17000TL-10 431,01.02.2020 09:00,1.82
STP 17000TL-10 435,01.02.2020 09:00,1.81
STP 17000TL-10 561,01.02.2020 09:00,1.55
STP 17000TL-10 431,01.02.2020 13:00,5.33
STP 17000TL-10 435,01.02.2020 13:00,3.50
STP 17000TL-10 561,01.02.2020 13:00,4.62
STP 17000TL-10 431,01.02.2020 10:00,3.58
STP 17000TL-10 435,01.02.2020 10:00,3.72
STP 17000TL-10 561,01.02.2020 10:00,3.01
STP 17000TL-10 431,01.02.2020 12:00,9.51
STP 17000TL-10 435,01.02.2020 12:00,6.74
STP 17000TL-10 561,01.02.2020 12:00,7.36
STP 17000TL-10 431,01.02.2020 11:00,6.30
STP 17000TL-10 435,01.02.2020 11:00,5.16
STP 17000TL-10 561,01.02.2020 11:00,5.13
STP 17000TL-10 431,01.02.2020 17:00,0.83
STP 17000TL-10 435,01.02.2020 17:00,0.87
STP 17000TL-10 561,01.02.2020 17:00,0.82
STP 17000TL-10 431,01.02.2020 14:00,6.88
STP 17000TL-10 435,01.02.2020 14:00,4.65
STP 17000TL-10 561,01.02.2020 14:00,6.14
STP 17000TL-10 431,01.02.2020 15:00,7.24
STP 17000TL-10 435,01.02.2020 15:00,6.84
STP 17000TL-10 561,01.02.2020 15:00,6.84
STP 17000TL-10 431,01.02.2020 16:00,4.05
STP 17000TL-10 435,01.02.2020 16:00,5.03
STP 17000TL-10 561,01.02.2020 16:00,5.07
STP 17000TL-10 431,01.02.2020 18:00,0.02
STP 17000TL-10 435,01.02.2020 18:00,0.01
STP 17000TL-10 561,01.02.2020 18:00,0.01
STP 17000TL-10 431,31.01.2020 08:00,0.41
STP 17000TL-10 435,31.01.2020 08:00,0.43
STP 17000TL-10 561,31.01.2020 08:00,0.38
STP 17000TL-10 431,31.01.2020 09:00,2.09
STP 17000TL-10 435,31.01.2020 09:00,2.17
STP 17000TL-10 561,31.01.2020 09:00,1.83
STP 17000TL-10 431,31.01.2020 13:00,11.54
STP 17000TL-10 435,31.01.2020 13:00,10.72
STP 17000TL-10 561,31.01.2020 13:00,9.34
STP 17000TL-10 431,31.01.2020 10:00,4.08
STP 17000TL-10 435,31.01.2020 10:00,3.95
STP 17000TL-10 561,31.01.2020 10:00,3.12
STP 17000TL-10 431,31.01.2020 12:00,9.97
STP 17000TL-10 435,31.01.2020 12:00,8.93
STP 17000TL-10 561,31.01.2020 12:00,7.38
STP 17000TL-10 431,31.01.2020 11:00,8.88
STP 17000TL-10 435,31.01.2020 11:00,4.04
STP 17000TL-10 561,31.01.2020 11:00,6.35
STP 17000TL-10 431,31.01.2020 17:00,0.48
STP 17000TL-10 435,31.01.2020 17:00,0.52
STP 17000TL-10 561,31.01.2020 17:00,1.00
STP 17000TL-10 431,31.01.2020 14:00,11.71
STP 17000TL-10 435,31.01.2020 14:00,10.56
STP 17000TL-10 561,31.01.2020 14:00,10.32
STP 17000TL-10 431,31.01.2020 15:00,8.38
STP 17000TL-10 435,31.01.2020 15:00,7.68
STP 17000TL-10 561,31.01.2020 15:00,7.92
STP 17000TL-10 431,31.01.2020 16:00,3.48
STP 17000TL-10 435,31.01.2020 16:00,4.55
STP 17000TL-10 561,31.01.2020 16:00,4.78
STP 17000TL-10 431,31.01.2020 18:00,0.06
STP 17000TL-10 435,31.01.2020 18:00,0.07
STP 17000TL-10 561,31.01.2020 18:00,0.05
STP 17000TL-10 431,30.01.2020 08:00,0.38
STP 17000TL-10 435,30.01.2020 08:00,0.50
STP 17000TL-10 561,30.01.2020 08:00,0.27
STP 17000TL-10 431,30.01.2020 07:00,0.03
STP 17000TL-10 435,30.01.2020 07:00,0.02
STP 17000TL-10 561,30.01.2020 07:00,0.01
STP 17000TL-10 431,30.01.2020 09:00,1.68
STP 17000TL-10 435,30.01.2020 09:00,1.70
STP 17000TL-10 561,30.01.2020 09:00,0.85
STP 17000TL-10 431,30.01.2020 13:00,4.06
STP 17000TL-10 435,30.01.2020 13:00,4.05
